Team,Matches,Goals_For,Goals_Against,Actual_Points,xG_For,xG_Against,Position
Arsenal,19,37,12,45,34.2,13.1,1
Manchester City,19,43,17,41,36.0,20.2,2
Aston Villa,19,30,23,39,21.7,27.8,3
Liverpool,19,30,26,33,30.2,22.5,4
Chelsea,19,32,21,30,32.6,26.2,5
Manchester Utd,19,33,29,30,33.6,25.3,6
Sunderland,19,20,18,29,16.3,26.4,7
Everton,19,20,20,28,21.8,26.8,8
Brentford,19,28,26,27,28.1,25.3,9
Crystal Palace,19,22,21,27,31.1,23.6,10
Fulham,19,26,27,27,21.6,25.3,11
Tottenham,19,27,23,26,17.8,25.0,12
Newcastle Utd,19,26,24,26,26.6,20.7,13
Brighton,19,28,27,25,30.3,27.1,14
Bournemouth,19,29,35,23,29.4,28.9,15
Leeds United,19,25,32,21,26.8,26.6,16
Nott'ham Forest,19,18,30,18,22.3,26.9,17
West Ham,19,21,38,14,20.2,32.4,18
Burnley,19,20,37,12,17.3,37.0,19
Wolves,19,11,40,3,17.2,27.7,20
