Team,Matches,Actual_Points,Goals_For,Goals_Against,xG_For,xG_Against,xPTS,Variance,Position_Actual,Position_Expected,Z_Score,P_Value,Significant,Risk_Score,Risk_Category,Regression_Probability,Performance_Status
Arsenal,19,45,37,12,34.2,13.1,40.66,4.34,1,1,0.6086328745031199,0.5427678090782178,False,83,High,0.581,Overperforming
Manchester City,19,41,43,17,36.0,20.2,36.67,4.33,2,2,0.6071733232453186,0.5437358939998354,False,83,High,0.58,Overperforming
Aston Villa,19,39,30,23,21.7,27.8,21.85,17.15,3,15,2.478318035746516,0.013200342378212548,True,100,Critical,0.9,Overperforming
Liverpool,19,33,30,26,30.2,22.5,31.35,1.65,4,4,0.2160135861545845,0.8289771573504454,False,49,Moderate,0.341,As Expected
Chelsea,19,30,32,21,32.6,26.2,30.4,-0.4,5,6,-0.08319442169467105,0.9336969482075403,False,18,Low,0.071,As Expected
Manchester Utd,19,30,33,29,33.6,25.3,31.73,-1.73,6,3,-0.27731473898223685,0.7815384431419834,False,14,Low,0.074,As Expected
Sunderland,19,29,20,18,16.3,26.4,18.43,10.57,7,17,1.5179333081132966,0.12903121213870228,False,100,Critical,0.835,Overperforming
Everton,19,28,20,20,21.8,26.8,22.42,5.58,8,14,0.7896172304704745,0.42975134242178537,False,91,Critical,0.702,Overperforming
Brentford,19,27,28,26,28.1,25.3,27.93,-0.93,9,9,-0.16055063835813715,0.8724473352901245,False,16,Low,0.072,As Expected
Crystal Palace,19,27,22,21,31.1,23.6,31.16,-4.16,10,5,-0.6319856946279399,0.527396224979686,False,6,Low,0.079,Underperforming
Fulham,19,27,26,27,21.6,25.3,23.18,3.82,11,12,0.532736209097455,0.594216197330161,False,78,High,0.532,Overperforming
Tottenham,19,26,27,23,17.8,25.0,20.52,5.48,12,16,0.775021717892462,0.4383268265327076,False,91,Critical,0.692,Overperforming
Newcastle Utd,19,26,26,24,26.6,20.7,30.21,-4.21,13,7,-0.639283450916946,0.5226385523132238,False,6,Low,0.08,Underperforming
Brighton,19,25,28,27,30.3,27.1,28.31,-3.31,14,8,-0.5079238377148338,0.6115067566523245,False,7,Low,0.078,Underperforming
Bournemouth,19,23,29,35,29.4,28.9,26.6,-3.6,15,10,-0.55025082419107,0.5821473482144677,False,6,Low,0.078,Underperforming
Leeds United,19,21,25,32,26.8,26.6,26.22,-5.22,16,11,-0.7866981279548719,0.43145860022686544,False,5,Low,0.082,Underperforming
Nott'ham Forest,19,18,18,30,22.3,26.9,22.8,-4.8,17,13,-0.7253969751272196,0.46820852825690995,False,5,Low,0.081,Underperforming
West Ham,19,14,21,38,20.2,32.4,18.05,-4.05,18,19,-0.6159306307921261,0.5379403042709501,False,6,Low,0.079,Underperforming
Burnley,19,12,20,37,17.3,37.0,13.68,-1.68,19,20,-0.2700169826932306,0.7871471884179275,False,14,Low,0.074,As Expected
Wolves,19,3,11,40,17.2,27.7,18.43,-15.43,20,18,-2.276899962169945,0.02279220015589778,True,0,Low,0.1,Underperforming
